nom,prenom,age,totalbut,poste,equipe
Grimm,Jérémy ,27 mars 1987(31),5,Milieu défensif                            ,R. Strasbourg
Sissoko,Ibrahima ,27 oct. 1997(20),9,Milieu défensif                            ,R. Strasbourg
Lala,Kenny ,3 oct. 1991(27),10,Arrière droit                            ,R. Strasbourg
Ndour,Abdallah ,20 déc. 1993(24),-,Arrière gauche                            ,R. Strasbourg
Carole,Lionel ,12 avr. 1991(27),10,Arrière gauche                            ,R. Strasbourg
Aaneba,Ismaël ,29 mai 1999(19),-,,R. Strasbourg
Tchamba,Duplexe ,10 juil. 1998(20),Journée,Défenseur central                            ,R. Strasbourg
Martinez,Pablo ,21 févr. 1989(29),9,Défenseur central                            ,R. Strasbourg
Caci,Anthony ,1 juil. 1997(21),8,1er niveau,R. Strasbourg
Mitrovic,Stefan ,22 mai 1990(28),10,Défenseur central                            ,R. Strasbourg
Koné,Lamine ,1 févr. 1989(29),4,Défenseur central                            ,R. Strasbourg
Pelletier,Louis ,3 févr. 2000(18),Journée,Gardien de but                            ,R. Strasbourg
Kawashima,Eiji ,20 mars 1983(35),-,Gardien de but                            ,R. Strasbourg
Kamara,Bingourou ,21 oct. 1996(22),-,Gardien de but                            ,R. Strasbourg
Sels,Matz ,26 févr. 1992(26),10,Gardien de but                            ,R. Strasbourg
Bammou,Yacine ,11 sept. 1991(27),9,Avant centre                            ,SM Caen
Crivelli,Enzo ,6 févr. 1995(23),8,Avant centre                            ,SM Caen
Beauvue,Claudio ,16 avr. 1988(30),7,Ailier droit                            ,SM Caen
Repas,Jan ,19 mars 1997(21),-,Ailier gauche                            ,SM Caen
Ninga,Casimir ,17 mai 1993(25),10,Ailier gauche                            ,SM Caen
Louis,Jeff ,8 août 1992(26),Journée,Milieu offensif                            ,SM Caen
Fajr,Fayçal ,1 août 1988(30),9,Milieu offensif                            ,SM Caen
Khaoui,Saîf-Eddine ,27 avr. 1995(23),4,Milieu offensif                            ,SM Caen
Deminguet,Jessy ,7 janv. 1998(20),6,Milieu central                            ,SM Caen
Peeters,Stef ,9 févr. 1992(26),7,Milieu central                            ,SM Caen
Diomandé,Ismaël ,28 août 1992(26),1,Milieu défensif                            ,SM Caen
Sankoh,Baissama ,20 mars 1992(26),3,Milieu défensif                            ,SM Caen
Oniangué,Prince ,4 nov. 1988(29),10,Milieu défensif                            ,SM Caen
Dabo,Mouhamadou ,28 nov. 1986(31),-,Arrière droit                            ,SM Caen
Gradit,Jonathan ,24 nov. 1992(25),1,Arrière droit                            ,SM Caen
